id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
2071414827,2014-01-01,1185494,7,5.0,3674,9175,2,0,2,2,3,3377,434,1974,2010,98062,47.27762855864053,-121.77049000004124,3742,6061
8374976686,2014-01-02,506455,1,1.0,1360,13040,1,1,3,1,6,1181,529,1999,0,98028,47.506605301409564,-122.29292782460976,1543,2858
8972028374,2014-01-03,550111,3,2.19,1794,12534,2,0,1,2,4,1387,441,1963,1990,98018,47.29220458372817,-122.12296450320682,1763,10105
2890034933,2014-01-04,523006,2,1.82,1630,6785,2,0,1,2,6,1450,171,1955,0,98090,47.56977682763847,-122.49194171110446,1786,14678
4134088769,2014-01-05,465225,2,1.0,1595,10609,2,1,0,3,10,1361,15,1979,2010,98028,47.293095867363014,-121.74136241608629,1717,6607
9333184898,2014-01-06,1191258,7,5.0,3592,5597,2,1,4,4,7,3153,960,1979,2010,98162,47.54600399065552,-121.87411335566952,3727,3065
7888255636,2014-01-07,675169,4,3.45,2138,8759,2,1,0,3,3,1820,751,1987,2000,98115,47.69576154350477,-121.68217667507955,2169,3966
4707138899,2014-01-08,782070,4,2.9,2669,13067,2,0,3,4,9,2333,897,2007,1990,98069,47.22551478011146,-122.04438921189728,2652,14346
4532587635,2014-01-09,299126,1,1.0,966,8532,2,1,2,3,3,959,55,1990,0,98122,47.451848184950926,-121.70025935628716,1124,7773
6039470036,2014-01-10,560926,2,1.17,1738,12125,2,0,2,1,11,1296,590,2006,2000,98022,47.4766293803313,-121.85241745572903,1812,14081
7381537276,2014-01-11,271763,1,1.0,830,9740,1,0,4,2,5,402,102,1985,2010,98045,47.67464328608686,-122.49638706746576,1028,13029
1502182771,2014-01-12,686894,4,2.89,1982,14653,1,1,0,4,5,1956,283,2013,2010,98171,47.48074937916733,-122.24630570491149,1813,8892
8224792828,2014-01-13,778097,6,4.98,2635,1838,2,1,0,1,8,2328,704,1965,2000,98175,47.540521471873795,-122.00610864779375,2611,10788
5883762029,2014-01-14,1221062,8,5.0,3944,14718,2,1,3,2,12,3799,516,1963,0,98179,47.67472255215284,-121.88131265028802,3808,5442
8010409496,2014-01-15,1213289,8,5.0,3671,14736,1,1,2,2,8,3581,617,1980,2010,98007,47.535855095757576,-122.43440913533536,3668,10247
3506564567,2014-01-16,1059436,7,5.0,3419,4815,2,1,0,2,8,3078,277,2014,2010,98182,47.41497964811175,-121.79492007181621,3245,14195
2675553657,2014-01-17,201023,1,1.0,630,1847,1,0,4,3,3,359,884,2004,1990,98065,47.25150536657235,-121.95646390235274,580,10215
2525278789,2014-01-18,584512,5,3.63,2185,5709,1,0,2,1,7,1864,611,1989,2000,98167,47.63794937770754,-121.97422069318172,2287,4204
1194343786,2014-01-19,1379797,8,5.0,3880,5507,1,0,3,1,8,3876,749,1974,2010,98158,47.72268289009729,-122.20795444190209,3947,1575
9655118806,2014-01-20,397214,3,2.61,1269,7575,2,1,4,2,10,1188,268,1974,0,98175,47.78203872221209,-121.90517690050942,1153,1198
5749603476,2014-01-21,986997,6,4.73,2891,5773,2,0,1,4,3,2505,832,1952,1990,98099,47.755959928462936,-122.47250711036823,2756,8423
7541849447,2014-01-22,627655,4,3.3,2015,13446,2,1,3,1,7,1797,399,1975,2000,98060,47.67845074529995,-122.43529966949602,1947,2365
7702639241,2014-01-23,1276234,6,4.03,3985,5468,1,1,4,3,5,3868,502,1989,0,98111,47.58608315934744,-121.76612991278716,4177,8834
5048690355,2014-01-24,1150495,7,5.0,3353,11464,1,0,0,4,4,3273,85,1987,2010,98051,47.66887608749838,-122.17810865746604,3518,2998
1355339975,2014-01-25,998190,6,5.0,2933,6192,1,0,1,4,10,2470,319,1987,2000,98165,47.459250227711244,-122.15303292437551,2814,6350
4350024383,2014-01-26,544277,4,3.25,1715,4320,2,1,3,4,9,1646,31,1956,2000,98035,47.5568657288745,-122.29161479674354,1895,7444
1424073081,2014-01-27,439737,1,1.0,1455,11750,1,0,0,4,12,1341,335,1979,0,98111,47.40921988548351,-122.05437930790006,1573,2016
1324961972,2014-01-28,947378,5,3.73,2824,5698,1,1,1,1,9,2562,50,1968,2000,98086,47.39602552898823,-122.4480065685887,2951,4618
3512892773,2014-01-29,641862,2,1.69,1684,5311,2,0,2,2,7,1379,78,1984,0,98182,47.654015063965616,-122.19963677642889,1581,1025
1971844804,2014-01-30,307314,1,1.0,959,11188,1,0,0,4,11,818,697,1982,2010,98084,47.472359669382136,-121.9728760782223,831,10750
4846993466,2014-01-31,1343353,8,5.0,3885,4673,1,0,4,3,7,3464,173,1982,1990,98012,47.32729675775862,-122.03436807844086,4011,4724
4005210983,2014-02-01,164229,2,1.34,521,2564,2,0,3,3,4,34,947,1987,0,98164,47.321162897165124,-121.50033035687697,350,4458
9003524362,2014-02-02,927598,4,2.63,2800,13210,2,0,1,2,5,2594,617,1959,1990,98046,47.71550341694196,-122.1112353478831,2724,12548
8685810892,2014-02-03,439157,1,1.0,1247,2840,1,1,0,1,6,1137,500,2006,2000,98089,47.6066562966176,-122.11300094074569,1256,7593
2057610620,2014-02-04,1060701,6,3.7,3404,7058,2,0,2,2,7,3102,574,1977,0,98198,47.52762764401487,-121.99641822258555,3475,11559
7114091739,2014-02-05,264846,1,1.03,974,8131,1,0,3,4,5,863,75,1987,2010,98021,47.440563241597815,-122.30969688972877,986,9662
8703327325,2014-02-06,551869,2,1.18,1582,12483,2,0,3,1,9,1166,315,1965,0,98166,47.458490434472274,-121.62369557704085,1514,11659
1136487526,2014-02-07,950822,6,5.0,3058,12079,1,1,0,1,7,3016,832,1970,0,98057,47.23446111651697,-121.92773221113555,3014,8280
2031095991,2014-02-08,759382,4,2.86,2547,1726,2,1,2,4,7,2201,372,1955,0,98029,47.47294608692071,-122.30789236080058,2393,9069
1592212728,2014-02-09,999902,6,4.49,3247,10436,1,1,1,3,8,2963,80,1990,1990,98145,47.67727294637325,-121.70655840862787,3403,5746
